ICAO.Code,IATA.Code,Airport.Name,City,Country,Latitude,Longitude
CYQU,YQU,GRANDE PRAIRIE,GRANDE PRAIRIE,CANADA,55.18,-118.885
CYQV,YQV,YORKTON MUNI,YORKTON,CANADA,51.265,-102.462
CYQW,YQW,NORTH BATTLEFORD,NORTH BATTLEFORD,CANADA,52.769,-108.244
CYQX,YQX,GANDER INTERNATIONAL,GANDER,CANADA,48.937,-54.568
CYQY,YQY,SYDNEY,SYDNEY,CANADA,46.161,-60.048
CYQZ,YQZ,QUESNEL,QUESNEL,CANADA,53.026,-122.51
CYRB,YRB,RESOLUTE BAY,RESOLUTE,CANADA,74.717,-94.969
CYRI,YRI,RIVIERE DU LOUP,RIVIERE DU LOUP,CANADA,47.764,-69.585
CYRJ,YRJ,ROBERVAL,ROBERVAL,CANADA,48.52,-72.266
CYRM,YRM,ROCKY MOUNTAIN HOUSE,ROCKY MOUNTAIN HOUSE,CANADA,52.43,-114.904
CYRT,YRT,RANKIN INLET,RANKIN INLET,CANADA,62.811,-92.116
CYRW,N/A,N/A,TROIS RIVIERE,CANADA,0,0
CYSA,N/A,N/A,SABLE ISLAND,CANADA,0,0
CYSB,YSB,SUDBURY,SUDBURY,CANADA,46.625,-80.799
CYSC,YSC,SHERBROOKE,SHERBROOKE,CANADA,45.438,-71.691
CYSD,N/A,N/A,SUFFIELD,CANADA,0,0
CYSF,YSF,N/A,STONY RAPIDS,CANADA,0,0
CYSJ,YSJ,SAINT JOHN,ST. JOHN,CANADA,45.316,-65.89
CYSK,YSK,N/A,SANIKILUAQ,CANADA,0,0
CYSM,YSM,FORT SMITH,FORT SMITH,CANADA,60.022,-111.96
CYSR,YSR,NANISIVIK,NANISIVIK,CANADA,72.982,-84.614
CYSS,N/A,N/A,SLATE ISLAND,CANADA,0,0
CYSU,YSU,SUMMERSIDE,SUMMERSIDE,CANADA,46.443,-63.831
CYSY,YSY,SACHS HARBOUR,SACHS HARBOUR,CANADA,71.994,-125.243
CYTC,N/A,N/A,ETHELDA BAY,CANADA,0,0
CYTE,YTE,CAPE DORSET,CAPE DORSET,CANADA,64.23,-76.527
CYTH,YTH,THOMPSON,THOMPSON,CANADA,55.801,-97.864
CYTL,YTL,N/A,BIG TROUT LAKE,CANADA,0,0
CYTR,YTR,TRENTON,TRENTON,CANADA,44.119,-77.528
CYTS,YTS,TIMMINS,TIMMINS,CANADA,48.57,-81.377
CYTZ,YTZ,CITY CENTRE,TORONTO,CANADA,43.627,-79.396
CYUA,N/A,N/A,SHINGLE POINT,CANADA,0,0
CYUB,YUB,TUKTOYAKTUK,TUKTOYAKTUK,CANADA,69.433,-133.026
CYUC,N/A,N/A,NICHOLSON PENINSULAR,CANADA,0,0
CYUF,YUF,N/A,PELLY BAY,CANADA,0,0
CYUH,N/A,N/A,CLINTON POINT,CANADA,0,0
CYUI,N/A,N/A,CAPE YOUNG,CANADA,0,0
CYUJ,N/A,N/A,LADY FRANKLIN POINT,CANADA,0,0
CYUK,N/A,N/A,BYRON BAY,CANADA,0,0
CYUL,YUL,MONTREAL INTERNATIONAL DORVAL,MONTREAL,CANADA,45.468,-73.741
CYUQ,N/A,N/A,JENNY LIND ISLAND,CANADA,0,0
CYUR,N/A,N/A,GLADMAN POINT,CANADA,0,0
CYUS,N/A,N/A,SHEPHERD BAY,CANADA,0,0
CYUT,YUT,REPULSE BAY,REPULSE BAY,CANADA,66.521,-86.225
CYUX,YUX,HALL BEACH,HALL BEACH,CANADA,68.776,-81.244
CYUY,YUY,ROUYN NORANDA,ROUYN,CANADA,48.206,-78.836
CYVC,YVC,LA RONGE,LA RONGE,CANADA,55.151,-105.262
CYVG,YVG,VERMILION,VERMILLION,CANADA,53.356,-110.824
CYVM,YVM,QIKIQTARJUAQ,BROUGHTON ISLAND,CANADA,67.546,-64.031
CYVN,N/A,N/A,CAPE DYER,CANADA,0,0
CYVO,YVO,VAL D OR,VAL D'OR,CANADA,48.053,-77.783
CYVP,YVP,KUUJJUAQ,QUUJJUAQ,CANADA,58.096,-68.427
CYVQ,YVQ,NORMAN WELLS,NORMAN WELLS,CANADA,65.282,-126.8
CYVR,YVR,VANCOUVER INTERNATIONAL,VANCOUVER,CANADA,49.195,-123.182
CYVT,YVT,BUFFALO NARROWS,BUFFALO NARROWS,CANADA,55.842,-108.418
CYVV,YVV,WIARTON,WIARTON,CANADA,44.746,-81.107
CYWA,YWA,PETAWAWA,PETAWAWA,CANADA,45.952,-77.319
CYWG,YWG,WINNIPEG INTERNATIONAL,WINNIPEG,CANADA,49.91,-97.234
CYWK,YWK,WABUSH,WABUSH,CANADA,52.922,-66.864
CYWL,YWL,WILLIAMS LAKE,WILLIAMS LAKE,CANADA,52.183,-122.054
CYWO,N/A,N/A,LUPIN,CANADA,0,0
CYWR,N/A,N/A,WHITE RIVER,CANADA,0,0
CYWY,YWY,WRIGLEY,WRIGLEY,CANADA,63.209,-123.437
CYXC,YXC,CRANBROOK,CRANBROOK,CANADA,49.61,-115.782
CYXD,YXD,EDMONTON CITY CENTRE,EDMONTON,CANADA,53.573,-113.521
CYXE,YXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,SASKATOON,CANADA,52.171,-106.7
CYXH,YXH,MEDICINE HAT,MEDICINE HAT,CANADA,50.019,-110.721
CYXI,N/A,N/A,KILLALOE,CANADA,0,0
CYXJ,YXJ,FORT ST JOHN,FORT SAINT JOHN,CANADA,56.238,-120.74
CYXL,YXL,SIOUX LOOKOUT,SIOUX LOOKOUT,CANADA,50.114,-91.904
CYXN,YXN,N/A,WHALE COVE,CANADA,0,0
CYXP,YXP,PANGNIRTUNG,PANGNIRTUNG,CANADA,66.145,-65.714
CYXR,YXR,TIMISKAMING RGNL,EARLTON,CANADA,47.695,-79.849
CYXS,YXS,PRINCE GEORGE,PRINCE GEORGE,CANADA,53.889,-122.679
CYXT,YXT,TERRACE,TERRACE,CANADA,54.466,-128.577
CYXU,YXU,LONDON,LONDON,CANADA,43.036,-81.154
CYXX,YXX,ABBOTSFORD,ABBOTSFORD,CANADA,49.025,-122.363
CYXY,YXY,WHITEHORSE INTERNATIONAL,WHITEHORSE,CANADA,60.709,-135.068
CYYB,YYB,NORTH BAY,NORTH BAY,CANADA,46.364,-79.423
CYYC,YYC,CALGARY INTERNATIONAL,CALGARY,CANADA,51.114,-114.02
CYYD,YYD,SMITHERS,SMITHERS,CANADA,54.825,-127.183
CYYE,YYE,FORT NELSON,FORT NELSON,CANADA,58.836,-122.597
CYYF,YYF,PENTICTON,PENTICTON,CANADA,49.463,-119.602
CYYG,YYG,CHARLOTTETOWN,CHARLOTTETOWN,CANADA,46.29,-63.121
CYYH,YYH,TALOYOAK,SPENCE BAY,CANADA,69.547,-93.577
CYYJ,YYJ,VICTORIA INTERNATIONAL,VICTORIA,CANADA,48.647,-123.426
CYYL,YYL,LYNN LAKE,LYNN LAKE,CANADA,56.864,-101.076
CYYN,YYN,SWIFT CURRENT,SWIFT CURRENT,CANADA,50.292,-107.691
CYYQ,YYQ,CHURCHILL,CHURCHILL,CANADA,58.739,-94.065
CYYR,YYR,GOOSE BAY,GOOSE BAY,CANADA,53.319,-60.426
CYYT,YYT,ST JOHNS INTERNATIONAL,ST. JOHN'S,CANADA,47.619,-52.752
CYYU,YYU,KAPUSKASING,KAPUSKASING,CANADA,49.414,-82.468
CYYW,YYW,ARMSTRONG,ARMSTRONG,CANADA,50.29,-88.91
CYYY,YYY,MONT JOLI,MONT JOLI,CANADA,48.609,-68.208
CYYZ,YYZ,LESTER B PEARSON INTERNATIONAL,TORONTO,CANADA,43.677,-79.631
CYZA,N/A,N/A,ASHCROFT,CANADA,0,0
CYZD,YZD,DOWNSVIEW,TORONTO,CANADA,43.742,-79.466
CYZE,YZE,GORE BAY MANITOULIN,GORE BAY,CANADA,45.885,-82.568
CYZF,YZF,YELLOWKNIFE,YELLOWKNIFE,CANADA,62.463,-114.44
CYZH,YZH,SLAVE LAKE,SLAVE LAKE,CANADA,55.293,-114.778
CYZP,YZP,SANDSPIT,SANDSPIT,CANADA,53.254,-131.814
CYZR,YZR,CHRIS HADFIELD,SARNIA,CANADA,42.999,-82.309
CYZT,YZT,PORT HARDY,PORT HARDY,CANADA,50.681,-127.367
CYZU,YZU,WHITECOURT,WHITECOURT,CANADA,54.144,-115.787
CYZV,YZV,SEPT ILES,SEPT-ILES,CANADA,50.223,-66.266
CYZW,YZW,TESLIN,TESLIN,CANADA,60.173,-132.743
CYZX,YZX,GREENWOOD,GREENWOOD,CANADA,44.984,-64.917
CZFA,ZFA,FARO,FARO,CANADA,62.208,-133.376
CZFM,ZFM,FORT MCPHERSON,FORT MCPHERSON,CANADA,67.408,-134.86
CZNB,N/A,N/A,NORTH BAY,CANADA,0,0
CZUE,N/A,N/A,CAPE PARRY,CANADA,0,0
DAAB,N/A,BLIDA,BLIDA,ALGERIA,36.504,2.814
DAAD,N/A,BOU SAADA,BOU SAADA,ALGERIA,35.333,4.206
DAAE,BJA,SOUMMAM,BEJAJA,ALGERIA,36.712,5.07
DAAF,N/A,N/A,AOULEF,ALGERIA,0,0
DAAG,ALG,HOUARI BOUMEDIENE,ALGIER,ALGERIA,36.691,3.215
DAAJ,DJG,TISKA,DJANET,ALGERIA,24.293,9.452
DAAK,N/A,BOUFARIK,BOUFARIK,ALGERIA,36.546,2.876
DAAM,N/A,TELERGHMA,TELERGMA,ALGERIA,36.109,6.364
DAAN,N/A,REGGANE,REGGAN,ALGERIA,26.71,0.286
DAAP,VVZ,ILLIZI,ILLIZI,ALGERIA,26.573,8.484
DAAQ,N/A,AIN OUSSERA,AIN OUSSERA,ALGERIA,35.525,2.879
DAAS,GSF,SETIF AIN ARNAT,SETIF,ALGERIA,36.178,5.324
DAAT,TMR,TAMANRASSET,TAMANRASSET,ALGERIA,22.811,5.451
